A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,-3.70,0.77,0.00,3.00,1.00,2.00,20,9,1,0.7
0.00,1.80,0.00,0.00,0.00,1.80,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,7.20,0.00,2.00,0.00,-2.26,0.78,0.00,4.40,0.80,2.60,20,13,0,-2.6
0.00,1.95,0.00,0.00,0.00,4.35,0.00,0.80,2.88,0.00,0.00,0.00,0.00,0.00,5.41,0.00,1.28,0.00,-3.53,1.13,0.00,5.62,3.08,1.00,18,9,0,3.6
0.00,1.56,0.00,0.00,0.00,4.48,0.00,0.64,2.30,0.00,0.00,0.00,0.00,0.00,7.33,0.00,1.02,1.00,0.78,0.8,1.00,4.49,4.70,3.48,19,4,0,-2.5
0.00,2.25,0.00,0.00,0.00,5.59,0.00,0.51,2.84,0.00,0.00,0.00,0.00,0.00,5.86,0.00,0.82,0.80,-1.88,1.37,0.80,4.59,4.52,3.28,20,3,1,3.9
0.00,1.80,0.00,0.00,0.00,4.47,0.00,2.41,2.27,0.00,0.00,0.00,0.00,0.00,7.69,0.00,2.66,0.64,2.40,1.1,0.64,4.68,2.44,4.58,19,17,0,1.4
0.00,2.15,0.00,0.00,0.00,5.86,0.00,2.54,1.46,0.00,0.00,0.00,0.00,0.00,6.72,0.00,4.50,0.41,2.96,3.64,2.21,6.79,4.86,4.67,17,18,0,12.0
0.00,1.72,0.00,0.00,0.00,6.69,0.00,2.03,1.16,0.00,1.00,0.00,0.00,0.00,5.38,0.00,3.60,1.33,14.36,0.81,3.77,5.43,2.01,1.49,18,7,1,-5.5
0.00,1.10,0.80,0.00,0.00,5.08,0.00,1.30,1.55,0.00,0.64,0.00,0.00,0.80,3.44,0.00,2.30,0.85,4.79,2.91,2.41,9.28,4.29,3.30,18,5,1,7.2
0.00,0.88,0.64,0.00,0.00,4.06,1.00,2.04,2.24,0.00,0.51,0.00,0.00,0.64,2.75,0.00,1.84,1.68,11.03,3.07,4.93,7.42,3.88,4.90,17,14,0,6.1
0.00,0.71,0.51,0.00,0.00,5.25,0.80,1.63,3.79,0.00,0.41,0.00,0.00,0.51,4.20,0.00,2.47,2.34,14.93,2.94,4.94,5.94,7.87,5.46,18,6,1,3.9
0.64,1.00,0.26,0.00,0.00,4.33,0.41,0.84,3.94,0.00,0.21,0.00,0.00,0.26,7.79,0.00,4.91,2.20,19.24,2.81,5.61,4.32,8.06,4.52,14,3,1,0.5
0.41,1.64,0.17,0.00,0.00,6.77,0.26,0.54,3.32,0.00,0.13,0.00,0.00,0.17,7.99,0.00,4.14,1.41,9.51,2.36,7.39,5.56,8.90,6.35,11,6,1,-0.9
0.26,1.05,0.11,0.00,0.00,5.33,0.17,0.34,2.13,0.00,0.09,0.00,0.00,0.11,10.51,0.00,2.65,0.90,3.97,4.48,5.53,7.36,1.68,4.43,13,19,1,10.8
0.21,1.84,0.09,0.00,0.00,4.27,0.13,0.27,5.70,0.00,1.07,0.00,0.00,0.09,10.41,0.00,4.12,0.72,13.97,3.17,5.42,6.89,5.41,5.42,13,9,0,2.2
0.17,1.47,0.07,0.00,0.00,4.41,1.11,0.22,4.56,0.00,0.85,0.00,0.00,0.07,8.33,0.00,4.30,0.58,13.38,3.89,5.34,8.51,6.75,5.06,12,6,1,5.6
0.13,1.18,0.05,0.00,0.00,3.53,0.89,0.18,3.65,0.00,0.68,0.00,0.00,1.05,8.66,0.00,4.44,1.46,16.30,3.15,5.27,6.81,4.86,9.60,10,17,1,0.9
0.11,0.94,0.04,0.00,0.00,3.82,0.71,0.14,2.92,0.00,0.55,0.00,0.00,0.84,7.93,0.00,4.55,1.17,13.94,2.79,7.22,6.45,6.28,6.31,11,10,0,-1.1
0.09,0.75,0.04,0.00,0.00,4.06,0.57,0.11,2.33,0.00,0.44,0.00,0.00,0.68,8.34,0.00,3.64,0.94,10.05,2.8,5.77,6.16,4.84,6.36,12,11,1,-0.6
0.04,1.82,0.01,0.00,0.00,1.66,1.74,1.36,3.56,0.00,0.18,0.00,0.00,1.08,8.33,0.00,2.29,1.18,8.31,3.74,6.08,6.47,5.11,5.59,13,1,1,4.2
0.03,2.46,0.01,0.00,0.00,2.33,1.40,2.09,5.85,0.00,0.14,0.00,0.00,0.86,8.66,0.00,4.83,0.95,10.85,3.28,5.86,6.17,3.96,8.38,14,12,0,1.1
