A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.00,0.00,0.00,0.00,1.42,0.00,0.00,2.84,0.00,2.84,0.00,0.00,0.00,7.10,0.00,1.42,0.00,23.43,23.08,2.00,1.00,1.00,2.00,6,14,1,16.5
1.17,0.00,0.00,0.00,0.00,5.22,0.00,2.59,8.27,0.00,3.09,0.00,0.00,0.00,9.73,0.00,2.13,0.00,34.44,24.02,0.00,5.00,5.00,0.00,2,4,0,0.0
0.96,0.00,0.00,0.00,0.00,4.30,0.00,2.13,6.80,0.00,2.54,0.00,0.00,0.00,8.00,0.00,1.75,0.00,28.30,24.02,5.00,5.00,5.00,5.00,4,18,1,0.0
0.79,0.00,0.00,0.00,0.00,9.22,1.42,1.75,9.87,0.00,3.53,0.00,0.00,0.00,8.05,0.00,4.29,0.00,39.64,24.64,5.00,0.00,0.00,5.00,2,6,1,11.4
0.66,0.00,0.00,0.00,0.00,7.05,1.17,1.45,7.07,0.00,1.83,0.00,0.00,0.00,3.94,0.00,3.00,0.00,23.83,24.64,5.00,5.00,5.00,5.00,3,12,0,0.0
0.00,0.00,0.00,0.00,0.00,5.82,0.96,0.66,4.20,0.00,0.96,0.00,0.00,0.00,1.62,0.00,1.92,0.00,10.94,24.64,5.00,10.00,10.00,5.00,7,8,0,0.0
1.42,0.00,0.00,0.00,0.00,4.05,2.84,1.17,7.06,0.00,0.00,0.00,0.00,2.38,6.85,0.00,1.17,0.00,11.46,21.96,5.00,5.00,5.00,5.00,9,14,1,6.2
1.17,0.00,0.00,0.00,0.00,6.17,2.34,2.38,11.48,0.00,0.00,0.00,0.00,1.96,11.32,0.00,0.96,0.00,10.28,20.69,0.00,0.00,0.00,0.00,9,15,1,0.6
0.79,0.00,0.00,0.00,0.00,6.34,1.58,4.21,11.28,0.00,1.42,0.00,0.00,1.96,11.42,0.00,0.66,0.00,19.63,22.06,10.00,0.00,0.00,10.00,8,10,1,9.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84,0.00,0.00,0.00,0.00,1.42,0.00,0.00,1.42,0.00,2.84,4.86,1.00,3.00,3.00,1.00,15,4,0,2.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.34,0.00,0.00,0.00,0.00,1.17,0.00,0.00,1.17,0.00,2.34,4.86,5.00,0.00,0.00,5.00,14,5,1,0.0
