A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.25,0.00,0.00,0.00,0.00,20,2,0,2.7
0.50,0.50,0.00,0.00,0.00,1.50,0.50,1.00,1.00,0.00,0.00,0.00,0.00,0.50,3.00,0.00,2.50,0.00,5.25,12.04,1.50,2.00,2.00,3.00,3,17,1,3.4
0.25,0.25,0.00,0.00,0.00,0.75,0.25,0.50,2.50,0.00,0.00,0.00,0.00,0.25,3.50,0.00,3.25,0.00,6.03,12.04,2.75,2.00,2.00,1.75,9,2,0,0.0
0.12,0.12,0.00,0.00,0.00,0.38,0.12,0.25,1.25,0.00,0.00,0.00,0.00,0.12,1.75,0.00,1.62,0.00,3.01,12.56,2.38,5.00,1.00,2.75,10,19,0,7.6
0.13,0.13,1.00,0.00,0.00,3.15,0.01,0.64,4.83,0.00,0.00,0.00,0.00,0.13,4.23,0.00,1.73,0.00,-1.99,9.8,1.15,3.06,2.23,0.95,11,16,1,0.0
0.03,0.03,0.25,0.00,0.00,1.79,0.00,1.16,1.21,0.00,0.00,0.00,0.00,1.03,3.06,0.00,0.43,0.00,-1.30,9.59,2.79,4.27,1.21,2.03,13,4,0,0.0
0.02,0.02,0.12,0.00,0.00,0.89,0.00,0.58,0.60,0.00,0.00,0.00,0.00,0.52,1.53,0.00,0.22,0.00,-0.65,9.59,1.39,3.13,3.12,1.58,14,15,1,0.0
0.01,0.01,0.06,0.00,0.00,0.45,0.00,0.29,0.30,0.00,0.00,0.00,0.00,0.26,0.76,0.00,0.11,0.00,-0.32,9.59,0.70,1.57,1.49,2.27,16,6,0,0.0
0.00,0.00,0.01,0.00,0.00,0.06,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.03,0.10,0.00,0.01,0.00,-0.04,9.59,2.34,2.45,1.55,1.46,10,16,0,0.0
0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.05,0.00,0.01,0.00,-0.02,9.59,2.17,1.22,4.06,1.27,10,6,1,0.0
0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,-0.01,9.59,1.08,0.61,3.14,2.26,12,9,0,0.0
0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,8.77,0.54,1.31,0.80,3.91,11,10,1,0.8
1.00,1.00,0.00,0.00,0.00,2.50,0.00,1.00,3.50,0.00,1.00,0.00,0.00,0.50,2.50,0.00,1.00,0.00,12.80,10.81,2.14,0.33,1.57,1.86,9,3,1,0.0
0.25,0.25,0.00,0.00,0.00,0.63,0.00,0.25,5.88,0.00,0.25,0.00,0.00,0.13,1.63,0.00,1.25,0.00,6.90,9.66,1.53,2.08,1.68,3.83,9,16,1,3.6
0.13,0.13,0.00,0.00,0.00,2.31,0.00,1.13,6.94,0.00,0.12,0.00,0.00,0.06,4.81,0.00,2.63,0.00,7.05,8.46,2.77,2.04,2.71,1.95,11,19,1,-3.0
0.06,0.06,0.00,0.00,0.00,5.16,0.00,0.56,4.47,0.00,0.06,0.00,0.00,0.03,7.41,0.00,1.31,0.00,0.52,8.07,1.38,1.02,0.77,2.75,12,15,0,-4.6
0.02,0.02,0.50,0.00,0.00,1.79,0.00,0.64,2.12,0.00,0.02,0.00,0.00,0.01,3.35,0.00,0.33,0.00,-2.17,9.56,1.35,1.76,2.23,2.10,13,9,1,5.1
0.01,0.01,0.25,0.00,0.00,1.89,0.00,0.32,2.06,0.00,0.01,0.00,0.00,0.00,4.68,0.00,4.16,0.00,4.02,8.61,0.67,0.88,2.49,1.78,13,10,0,0.2
0.00,0.00,0.06,0.00,0.00,4.97,1.00,1.08,6.51,0.00,0.00,0.00,0.00,1.50,4.67,0.00,1.54,0.00,2.70,8.81,0.17,2.22,1.79,3.29,15,5,1,1.3
0.00,1.00,0.01,0.00,0.00,3.62,0.13,2.89,5.81,0.00,0.00,0.00,0.00,0.19,8.33,0.00,2.69,0.00,2.96,8.48,1.27,3.03,1.53,4.11,19,20,1,-0.7
0.00,0.50,0.00,0.00,0.00,1.81,0.06,2.44,2.91,0.00,0.00,0.00,0.00,0.09,9.17,0.00,1.35,0.00,0.78,8.7,1.64,2.51,2.77,2.16,19,3,0,1.5
0.00,0.25,0.00,0.00,0.00,0.91,0.03,2.22,3.45,0.00,0.00,0.00,0.00,0.05,5.58,0.00,0.67,0.00,1.89,8.13,0.82,3.26,1.06,2.38,16,9,1,-1.9
0.00,1.13,0.00,0.00,0.00,3.45,0.02,1.11,3.73,0.00,0.00,0.00,0.00,0.02,5.79,0.00,1.34,0.00,-0.95,8.63,2.41,2.63,3.31,1.60,18,1,0,1.8
0.00,0.56,0.00,0.00,0.00,2.73,0.01,0.56,5.86,0.00,0.00,0.00,0.00,0.01,6.90,0.00,1.67,0.00,1.32,9.51,1.20,5.31,2.88,1.07,15,11,1,7.1
0.00,0.28,0.00,0.00,0.00,3.36,1.00,0.28,9.93,0.00,0.00,0.00,0.00,1.01,5.45,0.00,3.83,0.00,7.76,6.98,1.60,2.66,0.02,3.47,18,12,0,-8.2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.0,0.00,0.00,0.00,0.00,2,19,1,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,3.00,0.00,2.00,2.00,8,3,0,0.8
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.80,7.92,1.50,2.00,2.00,3.00,3,17,1,10.4
