atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
68817,Grêmio,0.0,0.0,zag,0.0,2,0.0,0.0,0.0,14,1,0.0,4,0.0,1,1,0.0,0.0,14,0.0,11,4
68886,Fluminense,0.0,0.0,zag,0.0,2,2,0.0,0.0,19,1,3,11,0.0,1,0.0,0.0,1,19,0.0,26,6
62968,Atlético-MG,0.0,0.0,ata,2,1,0.0,0.0,0.0,8,1,3,6,0.0,0.0,0.0,0.0,1,11,0.0,6,0.0
62977,Fluminense,0.0,0.0,mei,0.0,8,0.0,0.0,0.0,28,10,13,32,0.0,2,0.0,0.0,0.0,79,0.0,29,0.0
78475,Ceará,0.0,0.0,ata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68887,Chapecoense,0.0,0.0,zag,0.0,1,2,0.0,0.0,11,7,7,14,0.0,1,1,0.0,2,45,0.0,13,4
62974,Vasco,0.0,0.0,zag,0.0,0.0,0.0,0.0,0.0,5,3,0.0,3,0.0,0.0,1,0.0,3,5,0.0,2,1
68895,Internacional,0.0,0.0,ata,1,1,0.0,0.0,0.0,3,6,10,26,0.0,1,0.0,0.0,1,27,0.0,9,0.0
63082,Fluminense,0.0,0.0,gol,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,12,0.0,5,0.0,0.0,0.0
63110,Goiás,0.0,0.0,lat,0.0,6,0.0,0.0,0.0,22,3,1,21,0.0,1,0.0,0.0,0.0,10,0.0,7,3
68911,Botafogo,0.0,0.0,ata,1,4,0.0,0.0,0.0,30,11,13,50,1,6,0.0,0.0,9,52,0.0,7,0.0
68920,Palmeiras,0.0,0.0,ata,4,3,0.0,0.0,0.0,25,24,26,96,2,6,0.0,0.0,6,75,0.0,12,0.0
63128,Chapecoense,0.0,0.0,zag,1,7,0.0,0.0,0.0,24,2,5,8,0.0,0.0,0.0,0.0,0.0,16,0.0,14,4
68896,Vasco,0.0,0.0,lat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68923,Corinthians,0.0,0.0,zag,1,4,0.0,0.0,0.0,9,2,7,3,1,1,0.0,0.0,4,11,0.0,27,8
63013,Palmeiras,0.0,0.0,lat,1,3,0.0,0.0,0.0,33,1,5,29,0.0,1,0.0,0.0,1,70,0.0,72,8
68925,Atlético-MG,0.0,0.0,zag,0.0,5,0.0,0.0,0.0,14,2,3,11,1,1,0.0,0.0,0.0,14,0.0,11,1
68901,Botafogo,0.0,0.0,ata,3,6,0.0,0.0,0.0,28,6,9,6,0.0,0.0,0.0,0.0,3,40,0.0,13,0.0
63172,Fortaleza,0.0,0.0,zag,0.0,1,0.0,0.0,0.0,6,1,1,4,0.0,2,0.0,0.0,0.0,15,0.0,10,3
68928,Cruzeiro,0.0,0.0,gol,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,6,0.0,1,0.0,0.0,1
83817,Corinthians,0.0,0.0,ata,3,4,0.0,0.0,0.0,30,9,8,42,1,3,0.0,0.0,3,48,0.0,17,0.0
